"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1494","Hootel Login","test","Wed Nov 20 18:12:38 GMT 2024","passed","Wed Nov 20 18:12:39 GMT 2024","TestHootel","test_hootel","",""
"","1086","test_hotel_list","test","Wed Nov 20 18:12:43 GMT 2024","passed","Wed Nov 20 18:12:44 GMT 2024","TestHootel","test_hootel","",""
